,COP NEEP 50,,,,,,,,,,,
302,2.402799997,,,,,,,,,,,
303,2.402799997,,,,,,,,,,,
304,2.402799997,,,,,,,,,,,
305,2.372799999,,,,,,,,,,,
306,2.372799999,,,,,,,,,,,
307,2.319999999,,,,,,,,,,,
308,2.291199999,,,,,,,,,,,
309,2.291199999,,,,,,,,,,,
310,2.267199999,,,,,,,,,,,
311,2.238399999,,,,,,,,,,,
312,2.214399999,,,,,,,,,,,
313,2.185599999,,,,,,,,,,,
314,2.214399999,,,,,,,,,,,
315,2.267199999,,,,,,,,,,,
316,2.238399999,,,,,,,,,,,
317,2.238399999,,,,,,,,,,,
318,2.238399999,,,,,,,,,,,
319,2.267199999,,,,,,,,,,,
320,2.319999999,,,,,,,,,,,
321,2.372799999,,,,,,,,,,,
322,2.444799997,,,,,,,,,,,
323,2.444799997,,,,,,,,,,,
324,2.495199998,,,,,,,,,,,
325,2.495199998,,,,,,,,,,,
326,2.495199998,,,,,,,,,,,
327,2.444799997,,,,,,,,,,,
328,2.444799997,,,,,,,,,,,
329,2.444799997,,,,,,,,,,,
330,2.444799997,,,,,,,,,,,
331,2.402799997,,,,,,,,,,,
332,2.372799999,,,,,,,,,,,
333,2.372799999,,,,,,,,,,,
334,2.372799999,,,,,,,,,,,
335,2.372799999,,,,,,,,,,,
336,2.372799999,,,,,,,,,,,
337,2.372799999,,,,,,,,,,,
338,2.402799997,,,,,,,,,,,
339,2.402799997,,,,,,,,,,,
340,2.402799997,,,,,,,,,,,
341,2.402799997,,,,,,,,,,,
342,2.402799997,,,,,,,,,,,
343,2.372799999,,,,,,,,,,,
344,2.402799997,,,,,,,,,,,
345,2.444799997,,,,,,,,,,,
346,2.495199998,,,,,,,,,,,
347,2.537199998,,,,,,,,,,,
348,2.537199998,,,,,,,,,,,
349,2.537199998,,,,,,,,,,,
350,2.537199998,,,,,,,,,,,
351,2.587599998,,,,,,,,,,,
352,2.587599998,,,,,,,,,,,
353,2.587599998,,,,,,,,,,,
354,2.587599998,,,,,,,,,,,
355,2.629599998,,,,,,,,,,,
356,2.587599998,,,,,,,,,,,
357,2.587599998,,,,,,,,,,,
358,2.629599998,,,,,,,,,,,
359,2.587599998,,,,,,,,,,,
360,2.537199998,,,,,,,,,,,
361,2.444799997,,,,,,,,,,,
362,2.402799997,,,,,,,,,,,
363,2.402799997,,,,,,,,,,,
364,2.372799999,,,,,,,,,,,
365,2.348799999,,,,,,,,,,,
366,2.348799999,,,,,,,,,,,
367,2.319999999,,,,,,,,,,,
368,2.291199999,,,,,,,,,,,
369,2.267199999,,,,,,,,,,,
370,2.238399999,,,,,,,,,,,
371,2.238399999,,,,,,,,,,,
372,2.238399999,,,,,,,,,,,
373,2.238399999,,,,,,,,,,,
374,2.291199999,,,,,,,,,,,
375,2.267199999,,,,,,,,,,,
376,2.267199999,,,,,,,,,,,
377,2.214399999,,,,,,,,,,,
378,2.1616,,,,,,,,,,,
379,2.1328,,,,,,,,,,,
380,2.185599999,,,,,,,,,,,
381,2.185599999,,,,,,,,,,,
382,2.1616,,,,,,,,,,,
383,2.1616,,,,,,,,,,,
384,2.1328,,,,,,,,,,,
385,2.029609415,,,,,,,,,,,
386,2.029609415,,,,,,,,,,,
387,2.1088,,,,,,,,,,,
388,1.839684381,,,,,,,,,,,
389,1.839684381,,,,,,,,,,,
390,2.029609415,,,,,,,,,,,
391,2.1088,,,,,,,,,,,
392,2.1328,,,,,,,,,,,
393,2.185599999,,,,,,,,,,,
394,2.267199999,,,,,,,,,,,
395,2.402799997,,,,,,,,,,,
396,2.629599998,,,,,,,,,,,
397,2.679999998,,,,,,,,,,,
398,2.679999998,,,,,,,,,,,
399,2.679999998,,,,,,,,,,,
400,2.537199998,,,,,,,,,,,
401,2.495199998,,,,,,,,,,,
402,2.495199998,,,,,,,,,,,
403,2.537199998,,,,,,,,,,,
404,2.495199998,,,,,,,,,,,
405,2.402799997,,,,,,,,,,,
406,2.402799997,,,,,,,,,,,
407,2.402799997,,,,,,,,,,,
408,2.372799999,,,,,,,,,,,
409,2.348799999,,,,,,,,,,,
410,2.319999999,,,,,,,,,,,
411,2.319999999,,,,,,,,,,,
412,2.291199999,,,,,,,,,,,
413,2.319999999,,,,,,,,,,,
414,2.319999999,,,,,,,,,,,
